sep=,
CUIT,N° Ader,Razon Social,N° Certificado,Norma,Fecha Retencion,Tipo Comprobante,N° Comprobante,Fecha Comprobante,Monto Retenido,Base Calculo
"30571421352","1313","BANCO CREDICOOP COOPERATIVO LTDO","0000000001300944","4","08/01/2020","L","2601300944","08/01/2020","33.22","1328.80",
"30571421352","1313","BANCO CREDICOOP COOPERATIVO LTDO","0000000001303436","4","09/01/2020","L","2601303436","09/01/2020","262.04","10481.66",
"30571421352","1313","BANCO CREDICOOP COOPERATIVO LTDO","0000000001303378","4","09/01/2020","L","2601303378","09/01/2020","60.76","2430.56",
"30571421352","1313","BANCO CREDICOOP COOPERATIVO LTDO","0000000001298880","4","09/01/2020","L","2601298880","09/01/2020","21.12","844.73",
"30571421352","1313","BANCO CREDICOOP COOPERATIVO LTDO","0000000001303694","4","10/01/2020","L","2601303694","10/01/2020","95.65","3825.85",
"30571421352","1313","BANCO CREDICOOP COOPERATIVO LTDO","0000000001303568","4","10/01/2020","L","2601303568","10/01/2020","70.26","2810.23",
"30571421352","1313","BANCO CREDICOOP COOPERATIVO LTDO","0000000001301555","4","10/01/2020","L","2601301555","10/01/2020","101.08","4043.35",
"30571421352","1313","BANCO CREDICOOP COOPERATIVO LTDO","0000000001303953","4","13/01/2020","L","2601303953","13/01/2020","86.53","3461.02",
"30571421352","1313","BANCO CREDICOOP COOPERATIVO LTDO","0000000001303830","4","13/01/2020","L","2601303830","13/01/2020","19.82","792.80",
"30571421352","1313","BANCO CREDICOOP COOPERATIVO LTDO","0000000001301840","4","13/01/2020","L","2601301840","13/01/2020","101.56","4062.33",
"30571421352","1313","BANCO CREDICOOP COOPERATIVO LTDO","0000000001301796","4","13/01/2020","L","2601301796","13/01/2020","35.59","1423.71",
"30571421352","1313","BANCO CREDICOOP COOPERATIVO LTDO","0000000001304183","4","14/01/2020","L","2601304183","14/01/2020","647.76","25910.59",
"30571421352","1313","BANCO CREDICOOP COOPERATIVO LTDO","0000000001304062","4","14/01/2020","L","2601304062","14/01/2020","17.34","693.70",
"30571421352","1313","BANCO CREDICOOP COOPERATIVO LTDO","0000000001302136","4","14/01/2020","L","2601302136","14/01/2020","37.97","1518.63",
"30571421352","1313","BANCO CREDICOOP COOPERATIVO LTDO","0000000001304475","4","15/01/2020","L","2601304475","15/01/2020","139.53","5581.01",
"30571421352","1313","BANCO CREDICOOP COOPERATIVO LTDO","0000000001304412","4","15/01/2020","L","2601304412","15/01/2020","28.42","1136.71",
"30571421352","1313","BANCO CREDICOOP COOPERATIVO LTDO","0000000001304312","4","15/01/2020","L","2601304312","15/01/2020","49.55","1982.00",
"30571421352","1313","BANCO CREDICOOP COOPERATIVO LTDO","0000000001304716","4","16/01/2020","L","2601304716","16/01/2020","55.00","2200.02",
"30571421352","1313","BANCO CREDICOOP COOPERATIVO LTDO","0000000001304948","4","17/01/2020","L","2601304948","17/01/2020","22.30","891.90",
"30571421352","1313","BANCO CREDICOOP COOPERATIVO LTDO","0000000001304836","4","17/01/2020","L","2601304836","17/01/2020","12.39","495.50",
"30571421352","1313","BANCO CREDICOOP COOPERATIVO LTDO","0000000001302846","4","17/01/2020","L","2601302846","17/01/2020","96.01","3840.42",
"30571421352","1313","BANCO CREDICOOP COOPERATIVO LTDO","0000000001305195","4","20/01/2020","L","2601305195","20/01/2020","393.43","15737.28",
"30571421352","1313","BANCO CREDICOOP COOPERATIVO LTDO","0000000001307173","4","30/01/2020","L","2601307173","30/01/2020","69.31","2772.49",
"30571421352","1313","BANCO CREDICOOP COOPERATIVO LTDO","0000000001303133","4","20/01/2020","L","2601303133","20/01/2020","114.07","4562.88",
"30571421352","1313","BANCO CREDICOOP COOPERATIVO LTDO","0000000001303074","4","20/01/2020","L","2601303074","20/01/2020","26.14","1045.66",
"30571421352","1313","BANCO CREDICOOP COOPERATIVO LTDO","0000000000899129","4","20/01/2020","L","899129","20/01/2020","6.83","273.22",
"30571421352","1313","BANCO CREDICOOP COOPERATIVO LTDO","0000000001305429","4","21/01/2020","L","2601305429","21/01/2020","40.88","1635.15",
"30571421352","1313","BANCO CREDICOOP COOPERATIVO LTDO","0000000001303404","4","21/01/2020","L","2601303404","21/01/2020","38.74","1549.48",
"30571421352","1313","BANCO CREDICOOP COOPERATIVO LTDO","0000000001303354","4","21/01/2020","L","2601303354","21/01/2020","30.89","1235.78",
"30571421352","1313","BANCO CREDICOOP COOPERATIVO LTDO","0000000001305731","4","22/01/2020","L","2601305731","22/01/2020","105.51","4220.27",
"30571421352","1313","BANCO CREDICOOP COOPERATIVO LTDO","0000000001303660","4","22/01/2020","L","2601303660","22/01/2020","40.88","1635.03",
"30571421352","1313","BANCO CREDICOOP COOPERATIVO LTDO","0000000001305962","4","23/01/2020","L","2601305962","23/01/2020","119.31","4772.46",
