sep=,
cuit,razonSocial,fechaPresentacion,importeCR,importeRecaudado,coeficienteJurisdiccion,importeRecaudadoPorJuris,tipoCuenta,CBU
"30500006613","BANCO PATAGONIA SA","13/11/2019","670644.21","2011.93","0.99","2001.66","2","0340119000119007808008",
"30500006613","BANCO PATAGONIA SA","25/11/2019","64016.68","192.05","0.99","191.07","2","0340119000119007808008",
"30571421352","BANCO CREDICOOP COOPERATIVO LTDO","19/11/2019","1391969","4175.93","0.99","4154.63","2","1910026155002603665314",
"30571421352","BANCO CREDICOOP COOPERATIVO LTDO","26/11/2019","59757.47","179.27","0.99","178.35","2","1910026155002603665314",
